Region,Site code,Map location number,USGS station number,State code,USGS site name,Latitude (decimal degrees),Longitude (decimal degrees),Method1,Sampling agency,Associated historical data
Cape May,NCA10-1625/BBC/SJ10,1,390551074455201,NJ,"Great Sound near Avalon, NJ",39.0975,-74.7645,"A,B,C,D,E,F,G,H,I",USGS/EPA Region 2,2EPA NCCA 2006/2010
Cape May,BBE/SJ13,2,385758074522301,NJ,"Jarvis Sound near Flower Mound, NJ",38.966,-74.873,"A,B,C,D,E,F,G,H,I",USGS,2EPA NCCA 2006
Cape May,BBG/SJ11,3,390235074470201,NJ,"Dung Thorofare near Nummy Island, NJ",39.043,-74.784,"A,B,C,D,E,F,G,H,I",USGS,2EPA NCCA 2006
Cape May,BBH/SJ12,4,390213074484701,NJ,"Turtle Gut near Grassy Sound, NJ",39.037,-74.813,"A,B,C,D,E,F,G,H,I",USGS,2EPA NCCA 2006
Cape May,BBM/SJ9,5,390920074421401,NJ,"Ludlum Thorofare near 47th Place at Sea Isle City, NJ",39.1557,-74.704,"A,B,C,D,E,F,G,H,I",USGS,None. Added to inform regional impact
Atlantic City,NCA10-1616/BBA/SJ7,6,391750074363001,NJ,"Great Egg Harbor Bay near Drag Island, NJ",39.2973,-74.6084,"A,B,C,D,E,F,G,H,I",USGS/EPA Region 2,2EPA NCCA 2010
Atlantic City,NCA10-1623/BBB/SJ6,7,392302074305701,NJ,"Lakes Bay near Pleasantville, NJ",39.3839,-74.5159,"A,B,C,D,E,F,G,H,I",USGS/EPA Region 2,2EPA NCCA 2010
Atlantic City,BBL/SJ8,8,391637074371201,NJ,"Peck Bay at Beesley’s Point, NJ",39.277,-74.62,"A,B,C,D,E,F,G,H,I",USGS,2EPA NCCA 2006
Great Bay,NCA10-2622/BBD/SJ2,9,393027074201101,NJ,"Great Bay Shooting Thorofare near Fish Island, NJ",39.5076,-74.3365,"A,B,C,D,E,F,G,H,I",USGS,2EPA NCCA 2010
Great Bay,BBF/SJ1,10,393210074231701,NJ,"Great Bay near Graveling Point, NJ",39.536,-74.388,"A,B,C,D,E,F,G,H,I",USGS,2EPA NCCA 2006
Great Bay,BBI/SJ4,11,392700074233101,NJ,"Little Bay near Pearch Cove, NJ",39.45,-74.392,"A,B,C,D,E,F,G,H,I",USGS,2EPA NCCA 2006
Great Bay,BBJ/SJ3,12,392823074231301,NJ,"Main Marsh Thorofare near Hammock Cove at EBFNWR, NJ",39.473,-74.387,"A,B,C,D,E,F,G,H,I",USGS,2EPA NCCA 2006
Great Bay,BBK/SJ5,13,392346074254801,NJ,"Absecon Channel at Mankiller Bay near Atlantic City, NJ",39.396,-74.43,"A,B,C,D,E,F,G,H,I",USGS,2EPA NCCA 2006
Great Bay,NOAA9,14,393215074231001,NJ,"Great Bay near Bogans Cove, NJ",39.5375,-74.3861,"A,B,C,E,F,G,H,I",USGS,"3NOAA, Mussel Watch"
Great Bay,NCA10-1615,15,393253074283001,NJ,Great Bay EPA NCCA site NCA10-1615,39.5481,-74.4751,"A,F,G,H",EPA Region 2,2EPA NCCA 2010
Barnegat Bay,BB01,16,01408168,NJ,"Barnegat Bay at Mantoloking, NJ",40.04,-74.0522,"A,C,D,E,F,G,H,I",USGS,"Romanok and others, 2014"
Barnegat Bay,BB02,17,395839074055401,NJ,"Barnegat Bay near Lavallette, NJ",39.9776,-74.0985,"A,B,C,D,E,F,G,H,I",USGS,"Romanok and others, 2014"
Barnegat Bay,BB03,18,395653074060501,NJ,"Barnegat Bay 700 feet north of Route 37 Bridge, NJ",39.9482,-74.1015,"A,B,C,D,E,F,G,H,I",USGS,"Romanok and others, 2014"
Barnegat Bay,BB05A,19,395458074063401,NJ,"Barnegat Bay between Ocean Gate & South Seaside Park, NJ",39.9158,-74.1094,"A,B,C,D,E,F,G,H,I",USGS,"Romanok and others, 2014"
Barnegat Bay,BB06,20,395109074060701,NJ,"Barnegat Bay 1.2 miles south of Cedar Creek mouth, NJ",39.8526,-74.1021,"A,B,C,D,E,F,G,H,I",USGS,"Romanok and others, 2014"
Barnegat Bay,BB07A,21,394805074092601,NJ,"Barnegat Bay 0.5 miles south of Oyster Creek mouth, NJ",39.8013,-74.1571,"A,B,C,D,E,F,G,H,I",USGS,"Romanok and others, 2014"
Barnegat Bay,BB09,22,394433074085201,NJ,"Barnegat Bay 2 miles south of Barnegat Inlet, NJ",39.7426,-74.1479,"A,B,C,D,E,F,G,H,I",USGS,"Romanok and others, 2014"
Barnegat Bay,BB10,23,393939074122301,NJ,"Manakawkin Bay 800 feet south of Route 72 Bridge, NJ",39.661,-74.2065,"A,C,D,E,F,G,H,I",USGS,"Romanok and others, 2014"
Barnegat Bay,BB11,24,393731074140801,NJ,"Little Egg Harbor 0.8 miles north of Westecunk Creek mouth, NJ",39.6254,-74.2357,"A,B,C,D,E,F,G,H,I",USGS,"Romanok and others, 2014"
