beta-Stigmastanol	Isopropylbenzene Qualifier	Isoborneol Qualifier	N,N-diethyl-meta-toluamide (DEET)	Cholesterol Qualifier	Naphthalene Qualifier	Diethyhexylphthalate Qualifier	Prometon Qualifier	Bromacil Qualifier	Isophorone	Diazinon	Tributyl phosphate (TBP) Qualifier	Isoquinoline	Isoquinoline Qualifier	Tris (2-chloro-ethyl) phosphate (TCEP)	Nonylphenol mono_ethoxylate (NP1EO) Qualifier	Site code	Tris (2-chloro-ethyl) phosphate (TCEP) Qualifier	Region	para-Nonylphenol	Octylphenol diethoxylate (OP2EO)	4-Cumylphenol	Cholesterol	Diazinon Qualifier	Anthra_quinone	Benzophenone	Isoborneol	Diethylphthalate	4-n-Octylphenol	Tris (2-butoxy-ethyl) phosphate (TBEP) Qualifier	N,N-diethyl-meta-toluamide (DEET) Qualifier	Anthracene	Octylphenol mono_ethoxylate (OP1EO) Qualifier	2,6-Dimethylnaphthalene Qualifier	Menthol	Bisphenol A	4-tert-Octylphenol	Octylphenol mono_ethoxylate (OP1EO)	para-Cresol	1-Methylnaphthalene	Sample time	Octylphenol diethoxylate (OP2EO) Qualifier	Atrazine	Prometon	Benzophenone Qualifier	para-Cresol Qualifier	2,6-Dimethylnaphthalene	2-Methylnaphthalene Qualifier	Carbazole Qualifier	Metolachlor	Triclosan	Naphthalene	Pyrene	d-Limonene Qualifier	Fluoranthene Qualifier	Isopropylbenzene	Nonylphenol mono_ethoxylate (NP1EO)	Map location number	Acetophenone Qualifier	Benzo[a]pyrene	3-tert-butyl-4-hydroxyanisole Qualifier	4-n-Octylphenol Qualifier	Diethyhexylphthalate	d-Limonene	4-tert-Octylphenol Qualifier	Triclosan Qualifier	Galaxolide (HHCB)	Indole	Menthol Qualifier	Tonalide (AHTN)	Carbazole	Fluoranthene	1,4- Dichlorobenzene Qualifier	Nonylphenol diethoxylate (NP2EO) Qualifier	Anthra_quinone Qualifier	Phenol	Bisphenol A Qualifier	para-Nonylphenol Qualifier	Nonylphenol diethoxylate (NP2EO)	Phenol Qualifier	Tris (dichloro-isopropyl) phosphate (TDCP)	Tonalide (AHTN) Qualifier	beta-Sitosterol	beta-Sitosterol Qualifier	Camphor Qualifier	Diethylphthalate Qualifier	3-methyl-1h-Indole Qualifier	Acetophenone	Bromacil	3-methyl-1h-Indole	Tetrabromodiphenyl ether Qualifier	Triphenyl phosphate (TPP)	1-Methylnaphthalene Qualifier	Benzo[a]pyrene Qualifier	Isophorone Qualifier	2-Methylnaphthalene	Tributyl phosphate (TBP)	Phenanthrene Qualifier	Pyrene Qualifier	Tris (dichloro-isopropyl) phosphate (TDCP) Qualifier	Chlorpyrifos	Metolachlor Qualifier	Galaxolide (HHCB) Qualifier	4-Cumylphenol Qualifier	Chlorpyrifos Qualifier	3-beta-Coprostanol Qualifier	Indole Qualifier	Tris (2-butoxy-ethyl) phosphate (TBEP)	3-beta-Coprostanol	Phenanthrene	beta-Stigmastanol Qualifier	Sample date	Tetrabromodiphenyl ether	Camphor	Anthracene Qualifier	Triphenyl phosphate (TPP) Qualifier	1,4- Dichlorobenzene	3-tert-butyl-4-hydroxyanisole	Atrazine Qualifier
430.0	Less than minimum reporting limit	Less than minimum reporting limit	85.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	0.0	43.0	Less than minimum reporting limit	85.0	Less than minimum reporting limit	85.0	Less than minimum reporting limit	NCA10-1625/BBC/SJ10	Less than minimum reporting limit	Cape May	640.0	43.0	43.0	530.0	Less than minimum reporting limit	0.0	43.0	43.0	85.0	43.0	Less than minimum reporting limit	Less than minimum reporting limit	0.0	Less than minimum reporting limit	Detected but not quantified	43.0	43.0	43.0	210.0	20.9	43.0	1640	Less than minimum reporting limit	85.0	43.0	Less than minimum reporting limit		0.0	Less than minimum reporting limit	Less than minimum reporting limit	43.0	43.0	43.0	0.0	Less than minimum reporting limit	Detected but not quantified	85.0	430.0	1	Less than minimum reporting limit	0.0	Less than minimum reporting limit	Less than minimum reporting limit	210.0	43.0	Less than minimum reporting limit	Less than minimum reporting limit	43.0	36.7	Less than minimum reporting limit	43.0	43.0	0.0	Less than minimum reporting limit	Less than minimum reporting limit	Detected but not quantified	43.0	Less than minimum reporting limit	Less than minimum reporting limit	850.0	Less than minimum reporting limit	85.0	Less than minimum reporting limit	430.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Detected but not quantified	130.0	430.0	0.0	Less than minimum reporting limit	43.0	Less than minimum reporting limit	Detected but not quantified	Detected but not quantified	43.0	43.0	Less than minimum reporting limit	Detected but not quantified	Less than minimum reporting limit	43.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		130.0	430.0	43.0	Less than minimum reporting limit	8/13/13	43.0	43.0	Detected but not quantified	Less than minimum reporting limit	43.0	130.0	Less than minimum reporting limit
820.0	Less than minimum reporting limit	Less than minimum reporting limit	160.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	0.0	82.0	Less than minimum reporting limit	160.0	Less than minimum reporting limit	160.0	Less than minimum reporting limit	BBE/SJ13	Less than minimum reporting limit	Cape May	1200.0	82.0	82.0	1130.0	Less than minimum reporting limit	12.2	82.0	82.0	160.0	82.0	Less than minimum reporting limit	Less than minimum reporting limit	10.4	Less than minimum reporting limit	Detected but not quantified	82.0	82.0	82.0	410.0	21.4	82.0	1130	Less than minimum reporting limit	160.0	82.0	Less than minimum reporting limit		0.0	Less than minimum reporting limit	Detected but not quantified	82.0	82.0	82.0	26.3	Less than minimum reporting limit		160.0	820.0	2	Less than minimum reporting limit	13.0	Less than minimum reporting limit	Less than minimum reporting limit	410.0	82.0	Less than minimum reporting limit	Less than minimum reporting limit	82.0	63.7	Less than minimum reporting limit	82.0	0.0	30.7	Less than minimum reporting limit	Less than minimum reporting limit		110.0	Less than minimum reporting limit	Less than minimum reporting limit	1600.0	Less than minimum reporting limit	160.0	Less than minimum reporting limit	820.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Detected but not quantified	250.0	820.0	0.0	Less than minimum reporting limit	82.0	Less than minimum reporting limit		Detected but not quantified	82.0	82.0	Less than minimum reporting limit		Less than minimum reporting limit	82.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		250.0	820.0	82.0	Less than minimum reporting limit	8/13/13	82.0	82.0		Less than minimum reporting limit	82.0	250.0	Less than minimum reporting limit
950.0	Less than minimum reporting limit	Less than minimum reporting limit	190.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	0.0	95.0	Less than minimum reporting limit	190.0	Less than minimum reporting limit	190.0	Less than minimum reporting limit	BBG/SJ11	Less than minimum reporting limit	Cape May	1400.0	95.0	95.0	540.0	Less than minimum reporting limit	95.0	95.0	95.0	190.0	95.0	Less than minimum reporting limit	Less than minimum reporting limit	95.0	Less than minimum reporting limit	Less than minimum reporting limit	95.0	95.0	95.0	470.0	470.0	95.0	1400	Less than minimum reporting limit	190.0	95.0	Less than minimum reporting limit	Less than minimum reporting limit	95.0	Less than minimum reporting limit	Less than minimum reporting limit	95.0	95.0	95.0	95.0	Less than minimum reporting limit	Less than minimum reporting limit	190.0	950.0	3	Less than minimum reporting limit	95.0	Less than minimum reporting limit	Less than minimum reporting limit	470.0	95.0	Less than minimum reporting limit	Less than minimum reporting limit	95.0	44.6	Less than minimum reporting limit	95.0	95.0	95.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	170.0	Less than minimum reporting limit	Less than minimum reporting limit	1900.0	Less than minimum reporting limit	190.0	Less than minimum reporting limit	950.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Detected but not quantified	280.0	950.0	0.0	Less than minimum reporting limit	95.0	Less than minimum reporting limit	Less than minimum reporting limit	Detected but not quantified	95.0	95.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	95.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		280.0	950.0	95.0	Less than minimum reporting limit	8/13/13	95.0	95.0	Less than minimum reporting limit	Less than minimum reporting limit	95.0	280.0	Less than minimum reporting limit
1700.0	Less than minimum reporting limit	Less than minimum reporting limit	340.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	64.2	170.0	Less than minimum reporting limit	340.0	Less than minimum reporting limit	340.0	Less than minimum reporting limit	BBH/SJ12	Less than minimum reporting limit	Cape May	2300.0	170.0	170.0	1560.0	Less than minimum reporting limit	170.0	170.0	170.0	340.0	170.0	Less than minimum reporting limit	Less than minimum reporting limit	25.7	Less than minimum reporting limit		170.0	170.0	170.0	850.0	275.0	170.0	1530	Less than minimum reporting limit	340.0	170.0	Less than minimum reporting limit		34.8	Less than minimum reporting limit	Less than minimum reporting limit	170.0	170.0	170.0	63.2	Less than minimum reporting limit		340.0	1700.0	4	Estimated value	28.3	Less than minimum reporting limit	Less than minimum reporting limit	850.0	170.0	Less than minimum reporting limit	Less than minimum reporting limit	170.0	248.0	Less than minimum reporting limit	170.0	170.0	85.7	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	900.0	Less than minimum reporting limit	Estimated value	3400.0	Less than minimum reporting limit	340.0	Less than minimum reporting limit	1800.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		149.0	1700.0	170.0	Less than minimum reporting limit	170.0	Less than minimum reporting limit		Estimated value	170.0	170.0	Less than minimum reporting limit		Less than minimum reporting limit	170.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		510.0	1700.0	170.0	Less than minimum reporting limit	8/13/13	170.0	170.0		Less than minimum reporting limit	170.0	510.0	Less than minimum reporting limit
535.0	Less than minimum reporting limit	Less than minimum reporting limit	79.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	40.0	40.0	Less than minimum reporting limit	79.0	Less than minimum reporting limit	79.0	Less than minimum reporting limit	BBM/SJ9	Less than minimum reporting limit	Cape May	234.0	40.0	40.0	1470.0	Less than minimum reporting limit	18.8	40.0	40.0	79.0	40.0	Less than minimum reporting limit	Less than minimum reporting limit	50.0	Less than minimum reporting limit		40.0	40.0	40.0	200.0	44.4	40.0	900	Less than minimum reporting limit	79.0	40.0	Less than minimum reporting limit		20.4	Less than minimum reporting limit	Detected but not quantified	40.0	40.0	40.0	69.9	Less than minimum reporting limit		79.0	400.0	5	Less than minimum reporting limit	39.5	Missing data	Less than minimum reporting limit	200.0	40.0	Less than minimum reporting limit	Less than minimum reporting limit	40.0	13.7	Less than minimum reporting limit	40.0	0.0	89.3	Detected but not quantified	Less than minimum reporting limit		57.0	Less than minimum reporting limit	Estimated value	790.0	Less than minimum reporting limit	79.0	Less than minimum reporting limit	759.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Detected but not quantified	120.0	400.0	0.0	Less than minimum reporting limit	40.0	Less than minimum reporting limit		Less than minimum reporting limit	40.0	40.0			Less than minimum reporting limit	40.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		120.0	400.0	45.4	Estimated value	8/13/13	40.0	40.0		Less than minimum reporting limit	0.0		Less than minimum reporting limit
860.0	Less than minimum reporting limit	Less than minimum reporting limit	170.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	0.0	86.0	Less than minimum reporting limit	170.0	Less than minimum reporting limit	170.0	Less than minimum reporting limit	NCA10-1616/BBA/SJ7	Less than minimum reporting limit	Atlantic City	1300.0	86.0	86.0	730.0	Less than minimum reporting limit	16.3	86.0	86.0	170.0	86.0	Less than minimum reporting limit	Less than minimum reporting limit	0.0	Less than minimum reporting limit		86.0	86.0	86.0	430.0	38.7	86.0	1930	Less than minimum reporting limit	170.0	86.0	Less than minimum reporting limit		10.9	Less than minimum reporting limit	Less than minimum reporting limit	86.0	86.0	86.0	31.3	Less than minimum reporting limit		170.0	860.0	6	Less than minimum reporting limit	11.6	Less than minimum reporting limit	Less than minimum reporting limit	430.0	86.0	Less than minimum reporting limit	Less than minimum reporting limit	86.0	112.0	Less than minimum reporting limit	86.0	86.0	32.9	Less than minimum reporting limit	Less than minimum reporting limit		230.0	Less than minimum reporting limit	Less than minimum reporting limit	1700.0	Less than minimum reporting limit	170.0	Less than minimum reporting limit	860.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Detected but not quantified	260.0	860.0	0.0	Less than minimum reporting limit	86.0	Less than minimum reporting limit		Detected but not quantified	86.0	86.0	Less than minimum reporting limit		Less than minimum reporting limit	86.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		260.0	860.0	86.0	Less than minimum reporting limit	8/12/13	86.0	86.0	Detected but not quantified	Less than minimum reporting limit	86.0	260.0	Less than minimum reporting limit
371.0	Less than minimum reporting limit	Less than minimum reporting limit	200.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	16.6	100.0	Less than minimum reporting limit	200.0	Less than minimum reporting limit	200.0	Less than minimum reporting limit	NCA10-1623/BBB/SJ6	Less than minimum reporting limit	Atlantic City	1500.0	100.0	100.0	1310.0	Less than minimum reporting limit	58.2	100.0	100.0	200.0	100.0	Less than minimum reporting limit	Less than minimum reporting limit	23.0	Less than minimum reporting limit		100.0	100.0	100.0	500.0	342.0	100.0	1600	Less than minimum reporting limit	200.0	100.0	Less than minimum reporting limit		40.8	Less than minimum reporting limit	Detected but not quantified	100.0	100.0	100.0	82.0	Less than minimum reporting limit		200.0	1000.0	7	Estimated value	27.2	Less than minimum reporting limit	Less than minimum reporting limit	500.0	100.0	Less than minimum reporting limit	Less than minimum reporting limit	100.0	284.0	Less than minimum reporting limit	100.0	0.0	105.0	Detected but not quantified	Less than minimum reporting limit		290.0	Less than minimum reporting limit	Less than minimum reporting limit	2000.0	Less than minimum reporting limit	200.0	Less than minimum reporting limit	1160.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit		43.1	1000.0	28.2	Less than minimum reporting limit	100.0	Less than minimum reporting limit		Estimated value	100.0	100.0			Less than minimum reporting limit	100.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		300.0	1000.0	47.4	Estimated value	8/12/13	100.0	100.0		Less than minimum reporting limit	0.0	300.0	Less than minimum reporting limit
850.0	Less than minimum reporting limit	Less than minimum reporting limit	170.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	0.0	85.0	Less than minimum reporting limit	170.0	Less than minimum reporting limit	170.0	Less than minimum reporting limit	BBL/SJ8	Less than minimum reporting limit	Atlantic City	1300.0	85.0	85.0	760.0	Less than minimum reporting limit	19.1	85.0	85.0	170.0	85.0	Less than minimum reporting limit	Less than minimum reporting limit	12.1	Less than minimum reporting limit		85.0	85.0	85.0	420.0	53.5	85.0	1830	Less than minimum reporting limit	170.0	85.0	Less than minimum reporting limit		14.0	Less than minimum reporting limit	Detected but not quantified	85.0	85.0	85.0	41.8	Less than minimum reporting limit		170.0	850.0	8	Estimated value	15.5	Less than minimum reporting limit	Less than minimum reporting limit	420.0	85.0	Less than minimum reporting limit	Less than minimum reporting limit	85.0	106.0	Less than minimum reporting limit	85.0	0.0	51.9	Less than minimum reporting limit	Less than minimum reporting limit		200.0	Less than minimum reporting limit	Less than minimum reporting limit	1700.0	Less than minimum reporting limit	170.0	Less than minimum reporting limit	870.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Detected but not quantified	31.9	850.0	0.0	Less than minimum reporting limit	85.0	Less than minimum reporting limit		Detected but not quantified	85.0	85.0	Less than minimum reporting limit		Less than minimum reporting limit	85.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		250.0	850.0	85.0	Less than minimum reporting limit	8/12/13	85.0	85.0		Less than minimum reporting limit	85.0	250.0	Less than minimum reporting limit
410.0	Less than minimum reporting limit	Less than minimum reporting limit	81.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Detected but not quantified	Less than minimum reporting limit	0.0	41.0	Less than minimum reporting limit	81.0	Less than minimum reporting limit	81.0	Less than minimum reporting limit	NCA10-2622/BBD/SJ2	Less than minimum reporting limit	Great Bay	610.0	41.0	41.0	320.0	Less than minimum reporting limit	41.0	41.0	41.0	81.0	41.0	Less than minimum reporting limit	Less than minimum reporting limit	0.0	Less than minimum reporting limit	Less than minimum reporting limit	41.0	41.0	41.0	200.0	12.4	41.0	1400	Less than minimum reporting limit	81.0	0.0	Less than minimum reporting limit		41.0	Less than minimum reporting limit	Less than minimum reporting limit	41.0	41.0	41.0	0.0	Less than minimum reporting limit	Detected but not quantified	81.0	410.0	9	Less than minimum reporting limit	0.0	Less than minimum reporting limit	Less than minimum reporting limit	200.0	41.0	Less than minimum reporting limit	Less than minimum reporting limit	41.0	27.4	Less than minimum reporting limit	41.0	41.0	0.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	41.0	Less than minimum reporting limit	Less than minimum reporting limit	810.0	Less than minimum reporting limit	81.0	Less than minimum reporting limit	385.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Detected but not quantified	120.0	410.0	0.0	Less than minimum reporting limit	41.0	Less than minimum reporting limit	Detected but not quantified	Detected but not quantified	41.0	41.0	Less than minimum reporting limit	Detected but not quantified	Less than minimum reporting limit	41.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		120.0	410.0	41.0	Less than minimum reporting limit	8/2/13	41.0	41.0	Detected but not quantified	Less than minimum reporting limit	41.0	120.0	Less than minimum reporting limit
139.0	Less than minimum reporting limit	Less than minimum reporting limit	63.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	0.0	32.0	Less than minimum reporting limit	0.0	Detected but not quantified	63.0	Less than minimum reporting limit	BBF/SJ1	Less than minimum reporting limit	Great Bay	470.0	32.0	32.0	838.0	Less than minimum reporting limit	0.0	32.0	32.0	63.0	32.0	Less than minimum reporting limit	Less than minimum reporting limit	0.0	Less than minimum reporting limit	Detected but not quantified	32.0	32.0	0.0	160.0	66.6	32.0	1545	Less than minimum reporting limit	63.0	32.0	Less than minimum reporting limit		0.0	Less than minimum reporting limit	Less than minimum reporting limit	32.0	32.0	32.0	0.0	Less than minimum reporting limit	Detected but not quantified	63.0	320.0	10	Less than minimum reporting limit	0.0	Less than minimum reporting limit	Less than minimum reporting limit	160.0	32.0	Detected but not quantified	Less than minimum reporting limit	32.0	51.8	Less than minimum reporting limit	32.0	32.0	0.0	Detected but not quantified	Less than minimum reporting limit	Detected but not quantified	55.0	Less than minimum reporting limit	Less than minimum reporting limit	630.0	Less than minimum reporting limit	63.0	Less than minimum reporting limit	596.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Detected but not quantified	95.0	320.0	0.0	Less than minimum reporting limit	32.0	Less than minimum reporting limit	Detected but not quantified	Detected but not quantified	32.0	32.0	Less than minimum reporting limit	Detected but not quantified	Less than minimum reporting limit	32.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		95.0	320.0	32.0	Estimated value	8/2/13	32.0	32.0	Detected but not quantified	Less than minimum reporting limit	0.0	95.0	Less than minimum reporting limit
